Flotta_K,Clienti_N,Categoria,Distribuzione,Istanza_ID,Stato_Esatto,LB_o_Ottimo,Tempo_Esatto_s,Costo_ClarkeWright,Tempo_CW_s,GAP_%
5,15,Piccola,Uniforme,1,Ottimalita,594.0,5.29,594,0.0008,0.0
5,15,Piccola,Uniforme,2,Ottimalita,510.0,6.25,533,0.0008,4.51
5,15,Piccola,Uniforme,3,Ottimalita,534.0,6.57,537,0.0008,0.56
5,15,Piccola,Uniforme,4,Ottimalita,600.0,7.45,621,0.0008,3.5
5,15,Piccola,Uniforme,5,Ottimalita,629.0,1.3,651,0.0008,3.5
5,15,Piccola,Uniforme,6,Ottimalita,574.0,1.59,582,0.0007,1.39
5,15,Piccola,Uniforme,7,Ottimalita,596.0,4.19,596,0.0007,0.0
5,15,Piccola,Uniforme,8,Ottimalita,604.0,16.27,611,0.0007,1.16
5,15,Piccola,Uniforme,9,Ottimalita,536.0,1.49,545,0.0004,1.68
5,15,Piccola,Uniforme,10,Ottimalita,512.0,2.24,512,0.0007,0.0
5,15,Piccola,Cluster,1,Ottimalita,393.0,3.04,421,0.0007,7.12
5,15,Piccola,Cluster,2,Ottimalita,380.0,6.26,395,0.0009,3.95
5,15,Piccola,Cluster,3,Ottimalita,339.0,103.95,358,0.0008,5.6
5,15,Piccola,Cluster,4,Ottimalita,314.0,14.59,351,0.0008,11.78
5,15,Piccola,Cluster,5,Ottimalita,385.0,32.93,390,0.0008,1.3
5,15,Piccola,Cluster,6,Ottimalita,277.0,9.2,278,0.0008,0.36
5,15,Piccola,Cluster,7,Ottimalita,485.0,1.3,490,0.0007,1.03
5,15,Piccola,Cluster,8,Ottimalita,383.0,15.98,410,0.0008,7.05
5,15,Piccola,Cluster,9,Ottimalita,360.0,1.07,381,0.0007,5.83
5,15,Piccola,Cluster,10,Ottimalita,477.0,1.33,477,0.0002,0.0
5,30,Media,Uniforme,1,Time-Out,672.0,300.91,712,0.0029,5.95
5,30,Media,Uniforme,2,Time-Out,681.0,303.24,716,0.0029,5.14
5,30,Media,Uniforme,3,Time-Out,654.0,300.56,684,0.0029,4.59
5,30,Media,Uniforme,4,Ottimalita,675.0,134.69,718,0.0029,6.37
5,30,Media,Uniforme,5,Ottimalita,668.0,136.33,677,0.0028,1.35
5,30,Media,Uniforme,6,Time-Out,683.0,303.22,710,0.0028,3.95
5,30,Media,Uniforme,7,Ottimalita,604.0,53.01,608,0.0032,0.66
5,30,Media,Uniforme,8,Ottimalita,720.0,13.2,761,0.0028,5.69
5,30,Media,Uniforme,9,Time-Out,627.0,303.89,649,0.0028,3.51
5,30,Media,Uniforme,10,Time-Out,607.0,302.62,626,0.0048,3.13
5,30,Media,Cluster,1,Time-Out,515.0,301.48,544,0.0024,5.63
5,30,Media,Cluster,2,Time-Out,371.0,300.16,393,0.0018,5.93
5,30,Media,Cluster,3,Ottimalita,395.0,26.84,422,0.0012,6.84
5,30,Media,Cluster,4,Time-Out,445.0,300.2,502,0.0017,12.81
5,30,Media,Cluster,5,Time-Out,446.0,303.08,470,0.0049,5.38
5,30,Media,Cluster,6,Time-Out,463.0,301.03,499,0.0028,7.78
5,30,Media,Cluster,7,Time-Out,297.0,302.77,331,0.0023,11.45
5,30,Media,Cluster,8,Ottimalita,498.0,1.72,523,0.0011,5.02
5,30,Media,Cluster,9,Time-Out,284.0,302.39,297,0.0028,4.58
5,30,Media,Cluster,10,Time-Out,367.0,303.2,391,0.0015,6.54
5,45,Grande,Uniforme,1,Ottimalita,747.0,63.69,807,0.0024,8.03
5,45,Grande,Uniforme,2,Time-Out,717.0,305.07,771,0.0026,7.53
5,45,Grande,Uniforme,3,Time-Out,734.0,301.89,829,0.0056,12.94
5,45,Grande,Uniforme,4,Time-Out,727.0,304.11,774,0.0026,6.46
5,45,Grande,Uniforme,5,Time-Out,763.0,300.79,817,0.0059,7.08
5,45,Grande,Uniforme,6,Time-Out,725.0,303.94,776,0.0025,7.03
5,45,Grande,Uniforme,7,Ottimalita,740.0,22.1,779,0.0099,5.27
5,45,Grande,Uniforme,8,Time-Out,780.0,305.48,810,0.0081,3.85
5,45,Grande,Uniforme,9,Time-Out,726.0,303.09,807,0.0057,11.16
5,45,Grande,Uniforme,10,Time-Out,754.0,301.43,793,0.0023,5.17
5,45,Grande,Cluster,1,Time-Out,379.0,301.62,390,0.0068,2.9
5,45,Grande,Cluster,2,Time-Out,397.0,300.88,440,0.0027,10.83
5,45,Grande,Cluster,3,Ottimalita,513.0,54.34,547,0.0024,6.63
5,45,Grande,Cluster,4,Ottimalita,483.0,160.34,501,0.0026,3.73
5,45,Grande,Cluster,5,Ottimalita,461.0,208.47,481,0.0057,4.34
5,45,Grande,Cluster,6,Time-Out,487.0,300.94,514,0.0029,5.54
5,45,Grande,Cluster,7,Time-Out,440.0,305.92,498,0.0029,13.18
5,45,Grande,Cluster,8,Time-Out,535.0,304.09,565,0.0051,5.61
5,45,Grande,Cluster,9,Time-Out,456.0,300.66,488,0.0027,7.02
5,45,Grande,Cluster,10,Time-Out,401.0,300.52,442,0.0026,10.22
3,50,Piccola,Uniforme,1,Ottimalita,646.0,3.93,669,0.009,3.56
3,50,Piccola,Uniforme,2,Ottimalita,603.0,10.92,638,0.006,5.8
3,50,Piccola,Uniforme,3,Ottimalita,679.0,4.66,737,0.0068,8.54
3,50,Piccola,Uniforme,4,Ottimalita,689.0,3.64,741,0.0064,7.55
3,50,Piccola,Uniforme,5,Ottimalita,626.0,4.26,654,0.0071,4.47
3,50,Piccola,Uniforme,6,Ottimalita,676.0,8.64,689,0.003,1.92
3,50,Piccola,Uniforme,7,Ottimalita,680.0,302.62,775,0.0031,13.97
3,50,Piccola,Uniforme,8,Ottimalita,671.0,5.06,741,0.0083,10.43
3,50,Piccola,Uniforme,9,Ottimalita,668.0,8.18,696,0.003,4.19
3,50,Piccola,Uniforme,10,Ottimalita,672.0,36.62,732,0.0074,8.93
3,50,Piccola,Cluster,1,Ottimalita,446.0,88.02,482,0.0144,8.07
3,50,Piccola,Cluster,2,Ottimalita,386.0,46.68,404,0.0085,4.66
3,50,Piccola,Cluster,3,Ottimalita,401.0,28.08,407,0.0151,1.5
3,50,Piccola,Cluster,4,Ottimalita,494.0,3.3,520,0.0151,5.26
3,50,Piccola,Cluster,5,Ottimalita,387.0,46.4,407,0.0089,5.17
3,50,Piccola,Cluster,6,Ottimalita,389.0,7.26,405,0.0171,4.11
3,50,Piccola,Cluster,7,Ottimalita,429.0,13.19,442,0.0127,3.03
3,50,Piccola,Cluster,8,Ottimalita,474.0,34.69,498,0.0134,5.06
3,50,Piccola,Cluster,9,Ottimalita,423.0,33.52,446,0.0174,5.44
3,50,Piccola,Cluster,10,Ottimalita,310.0,34.59,321,0.0099,3.55
3,100,Media,Uniforme,1,Time-Out,934.0,301.01,1022,0.0148,9.42
3,100,Media,Uniforme,2,Ottimalita,897.0,14.21,963,0.0163,7.36
3,100,Media,Uniforme,3,Time-Out,864.0,305.81,949,0.0315,9.84
3,100,Media,Uniforme,4,Ottimalita,883.0,60.8,953,0.0149,7.93
3,100,Media,Uniforme,5,Ottimalita,917.0,111.4,1060,0.0278,15.59
3,100,Media,Uniforme,6,Ottimalita,905.0,119.82,999,0.0441,10.39
3,100,Media,Uniforme,7,Time-Out,871.0,306.36,954,0.0192,9.53
3,100,Media,Uniforme,8,Ottimalita,879.0,94.56,959,0.0142,9.1
3,100,Media,Uniforme,9,Ottimalita,920.0,196.55,1027,0.0318,11.63
3,100,Media,Uniforme,10,Time-Out,873.0,303.14,935,0.0148,7.1
3,100,Media,Cluster,1,Ottimalita,511.0,171.01,576,0.0166,12.72
3,100,Media,Cluster,2,Time-Out,636.0,302.26,693,0.0317,8.96
3,100,Media,Cluster,3,Ottimalita,482.0,10.98,514,0.0258,6.64
3,100,Media,Cluster,4,Ottimalita,619.0,16.0,667,0.0154,7.75
3,100,Media,Cluster,5,Time-Out,514.0,306.63,550,0.0163,7.0
3,100,Media,Cluster,6,Ottimalita,556.0,90.63,639,0.0192,14.93
3,100,Media,Cluster,7,Time-Out,506.0,300.7,566,0.0188,11.86
3,100,Media,Cluster,8,Time-Out,462.0,300.36,495,0.018,7.14
3,100,Media,Cluster,9,Ottimalita,471.0,124.83,543,0.0188,15.29
3,100,Media,Cluster,10,Ottimalita,524.0,24.95,573,0.0154,9.35
3,150,Grande,Uniforme,1,Time-Out,1055.0,300.12,1212,0.0408,14.88
3,150,Grande,Uniforme,2,Ottimalita,1040.0,45.07,1206,0.0435,15.96
3,150,Grande,Uniforme,3,Time-Out,1017.0,306.6,1128,0.0614,10.91
3,150,Grande,Uniforme,4,Time-Out,1094.0,316.12,1215,0.0429,11.06
3,150,Grande,Uniforme,5,Time-Out,1035.0,306.33,1122,0.0418,8.41
3,150,Grande,Uniforme,6,Ottimalita,1056.0,174.3,1128,0.0579,6.82
